Boiler_Model_Type,GEO_Assigned_Identification_Number,Chimney_Height_m_nbr,Capacity_MWe_nbr,Date_Commissioned_dt,Turbine_Manufacturer,Boiler_Manufacturer,Generator_Manufacturer,Unit_Nbr,Turbine_Model_Type,Decommission_Date_dt,Unit_Efficiency_Percent_nbr,Generator_Model_Type,Control_NOx_yr,Control_SOx_yr,Control_PM_yr,Control_Hg_yr,Control_N2O_yr,Boiler_HRSG_Manufacturer,Unit_Efficiency_Percent,Chimney_Height_nbr,Boiler_HRSG_Model_Type,Diesel_Engine_Boiler_Manufacturer,Diesel_Engine_Boiler_Model_Type,Hydraulic_Head_m_nbr,Speed_RPM_nbr,Injection_Wells_nbr,Production_Wells_nbr,Pipe_Network_Length_km_nbr,Reactor_Manufacturer,Reactor_Type_Model,IAEA_ID,Construction_Start_Date_dt,Generator_Type_Model,Turbine_Type_Model,Panel_Manufacturer,Invertor_Manufacturer,Panel_Type_Model,Invertor_Type_Model,Number_Of_Panels_nbr,Storage_Backup_System,Solar_to_Electric_Efficiency_Percent_nbr,HCE_Manufacturer,Number_Of_Turbines_nbr,Rotor_Diameter_m_nbr,Peak_MWe_per_Turbine_nbr,Hub_Height_m_nbr,Max_Production_at_wind_speed_m_sec_nbr,Turbine_Model,Capacity_Factor_Percent_nbr
,44196,,500,1979-00-00,LMZ Russia,Technopromexport,Electrosila,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44196,,900,2000-00-00,Siemens,Steinmuller,Siemens,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44196,,675,2012-10-00,Alstom,Hitachi Power Europe,Alstom,4,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supercritical,44197,,933,1999-00-00,ABB,Babcock Lentjes Kraftwekstechnik,ABB,1,,,,,2000,2000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supercritical,44197,,933,2000-06-00,ABB,Babcock Lentjes Kraftwekstechnik,ABB,2,,,,,2000,2000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43186,200,418.7,1995-00-00,,,,1,ST-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43186,200,387.3,1996-00-00,,,,2,ST-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43186,,110,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44460,151,151,1965-00-00,,,,1,ST-1,,,,1993,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44460,151,138.7,1969-00-00,,,,2,ST-2,,,,1993,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44460,,51,1972-00-00,,,,3,GT-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44460,,51,1973-00-00,,,,4,GT-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42764,,125,1970-00-00,AEG,Vereinigte Kesselwerke,AEG,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42764,,125,1970-00-00,AEG,Vereinigte Kesselwerke,AEG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42764,,300,1991-00-00,Siemens,Vereinigte Kesselwerke,Siemens,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42764,,300,1991-00-00,Siemens,Vereinigte Kesselwerke,Siemens,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42763,200,300,1987-00-00,LMZ Russia,Stein,Electrosila Russia,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42763,200,300,1988-00-00,LMZ Russia,Stein,Electrosila Russia,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42765,,330,2003-10-02,"ABB, Asea Brown Boveri",Ganzrock,"ABB, Asea Brown Boveri",1,,,,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42762,174,300,1984-00-00,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42762,174,300,1984-00-00,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42762,174,310,1984-00-00,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42762,174,310,1984-00-00,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42762,174,365,1997-12-00,Ansaldo,A.E.E./Waagner-Biro,Ansaldo,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42766,,300,1975-00-00,Alsthom,Stein,Alsthom,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42766,,300,1975-00-00,Alsthom,Stein,Alsthom,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42766,,325,1981-00-00,LMZ Russia,TE Ganz-Rock Hungary,Teploenergo,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42766,,325,1981-00-00,LMZ Russia,TE Ganz-Rock Hungary,Teploenergo,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42767,,70,1959-00-00,Brown Boveri and Cie (BBC),,,1,,2010-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42767,,125,1965-00-00,Brown Boveri and Cie (BBC),,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42767,,125,1965-00-00,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42767,,300,1973-00-00,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43653,,120,2000-01-19,Mitsubishi Japan,DB Riley,Brush,1,ST-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3990,,250,1982-04-00,MHI,MHI,MELCO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3990,,250,1983-08-00,MHI,MHI,MELCO,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3990,,250,1984-00-00,MHI,MHI,MELCO,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3990,215,350,1991-00-00,MHI,MHI,MELCO,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3990,215,350,1991-00-00,MHI,MHI,MELCO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3990,215,350,1991-00-00,MHI,MHI,MELCO,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3990,215,350,1995-10-00,MHI,MHI,MELCO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3990,215,350,1997-09-00,MHI,MHI,MELCO,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2585,,350,1982-00-00,"GEC Turbine Generators Ltd., UK (now Alstom)","Babcock Ltd., UK","GEC Turbine Generators Ltd., UK (now Alstom)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2585,,359,,"GEC Turbine Generators Ltd., UK (now Alstom)","Babcock Ltd., UK","GEC Turbine Generators Ltd., UK (now Alstom)",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2585,,350,,"GEC Turbine Generators Ltd., UK (now Alstom)","Babcock Ltd., UK","GEC Turbine Generators Ltd., UK (now Alstom)",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2585,,350,,"GEC Turbine Generators Ltd., UK (now Alstom)","Babcock Ltd., UK","GEC Turbine Generators Ltd., UK (now Alstom)",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2585,,677,,"GEC Turbine Generators Ltd., UK (now Alstom)","Babcock Ltd., UK","GEC Turbine Generators Ltd., UK (now Alstom)",5,,,,,2010,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2585,,677,,"GEC Turbine Generators Ltd., UK (now Alstom)","Babcock Ltd., UK","GEC Turbine Generators Ltd., UK (now Alstom)",6,,,,,2010,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2585,,677,,"GEC Turbine Generators Ltd., UK (now Alstom)","Babcock Ltd., UK","GEC Turbine Generators Ltd., UK (now Alstom)",7,,,,,2010,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2585,,677,1989-00-00,"GEC Turbine Generators Ltd., UK (now Alstom)","Babcock Ltd., UK","GEC Turbine Generators Ltd., UK (now Alstom)",8,,,,,2010,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42668,,100,1978-00-00,,,,1,ST-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42668,,100,1978-00-00,,,,2,ST-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42668,,220,1980-00-00,,,,3,ST-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42668,,232,1980-00-00,,,,4,ST-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42668,,232,1980-00-00,,,,5,ST-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42668,,33,,Hitachi Japan,,,6,GT-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42668,,33,,Hitachi Japan,,,7,GT-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42672,,60,1961-10-00,Skoda Czech,Rafako Czech,Ganz,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42672,,60,1962-00-00,Skoda Czech,Rafako Czech,Ganz,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42672,,60,1962-00-00,Skoda Czech,Rafako Czech,Ganz,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42672,,60,1963-00-00,Skoda Czech,Rafako Czech,Ganz,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Gas,42683,,37.5,1961-00-00,Lang,,Ganz,1,ST-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Gas,42683,,35,1961-00-00,Lang,,Ganz,2,ST-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,42683,,60,1965-00-00,Lang,,Ganz,3,ST-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass,42683,,49.9,1965-00-00,Lang,,Ganz,4,ST-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atmospheric fluidised bed combustion,3106,,25,,Skoda,"Cethar Vessels Pvt. Ltd., India",Skoda,1,Single cylinder axial flow condensing type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3900,,60,1967-07-08,Hitachi Japan,IHHI Japan,Hitachi Japan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3900,,60,1966-07-04,Hitachi Japan,IHHI Japan,Hitachi Japan,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3900,,60,1966-11-27,Hitachi Japan,IHHI Japan,Hitachi Japan,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3900,,60,1967-05-27,Hitachi Japan,IHHI Japan,Hitachi Japan,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3900,,120,1974-08-13,BHEL Hyderabad,BHEL Hyderabad,BHEL Hyderabad,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3900,,120,1974-12-19,BHEL Hyderabad,BHEL Hyderabad,BHEL Hyderabad,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3900,,120,1977-03-10,BHEL Hyderabad,BHEL Hyderabad,BHEL Hyderabad,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3900,,120,1978-01-10,BHEL Hyderabad,BHEL Hyderabad,BHEL Hyderabad,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3900,,250,1997-03-27,BHEL,BHEL,BHEL,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3900,,250,1998-02-28,BHEL,BHEL,BHEL,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3900,,500,2011-06-26,BHEL,BHEL,BHEL,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4455,,30,1965-04-22,Other,Other,,1,,2006-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4998,,62.5,1971-10-17,IGE USA,CE USA,IGE USA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4999,,200,1983-11-26,Ansaldo Italy,Ansaldo Italy,Ansaldo Italy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4999,,200,1984-05-29,Ansaldo Italy,Ansaldo Italy,Ansaldo Italy,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4999,,200,1984-12-13,Ansaldo Italy,Ansaldo Italy,Ansaldo Italy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4999,,500,1988-06-26,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4999,,500,1989-03-26,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4999,,500,1989-10-16,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4999,,500,2004-09-26,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5033,,210,1994-03-31,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5033,,210,1995-02-25,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5033,,210,2007-01-25,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5033,,210,2007-11-20,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5033,,210,2011-02-10,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5413,,500,2002-02-22,BHEL India,BHEL India,BHEL India,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5413,,500,2002-08-24,BHEL India,BHEL India,BHEL India,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5413,,500,2011-03-31,BHEL India,BHEL India,BHEL India,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5413,,500,2012-03-00,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5935,,210,1979-11-01,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5935,,210,1980-10-10,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5935,,210,1989-10-05,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5935,,210,1990-08-23,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5935,,210,1994-03-31,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5935,,210,1995-02-24,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5935,,500,2009-10-08,BHEL India,BHEL,BHEL India,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5950,,60,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5950,,60,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5950,,60,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5950,,67.5,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5950,,7.5,,,,,5,Back Pressure turbines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5950,,7.5,,,,,6,Back Pressure turbines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5950,,12,,,,,7,Gas Expansion Turbine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5950,,12,,,,,8,Gas expansion Turbines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40947,,500,2010-05-27,BHEL India,BHEL India,BHEL India,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFBC,43530,,150,2012-03-24,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFBC,43530,,150,2012-07-02,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2392,,250,2011-00-00,BHEL,BHEL,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2392,,250,2011-00-00,BHEL,BHEL,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2392,,250,2012-00-00,BHEL,BHEL,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46018,,250,2015-06-22,BHEL India,BHEL India,BHEL India,1,ST-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46018,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46018,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46018,,250,2016-00-00,BHEL India,BHEL India,BHEL India,4,ST-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46018,,250,2016-00-00,BHEL India,BHEL India,BHEL India,5,ST-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2244,,15,1966-01-26,Other,Other,,1,,1983-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2244,,15,1963-01-16,Other,Other,,2,,1985-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2244,,15,1963-10-20,Other,Other,Other,3,,1985-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2244,,50,1969-11-09,Zamech Poland,F. Raciberg Poland,Dolmel Poland,4,,1996-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2244,,50,1971-12-01,Zamech Poland,F. Raciberg Poland,Dolmel Poland,5,,1995-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2244,,110,1984-12-01,BHEL Hyderabad,BHEL Hyderabad,BHEL Hyderabad,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2244,,110,1985-03-31,BHEL Hyderabad,BHEL Hyderabad,BHEL Hyderabad,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3770,,210,1992-03-31,LMZ Russia,Taganrov USSR,Electrosila USSR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3770,,210,1994-03-17,LMZ Russia,Russia,Electrosila USSR,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3770,,210,1995-03-24,LMZ Russia,Russia,Electrosila USSR,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3770,,210,1996-03-18,LMZ Russia,Russia,Electrosila USSR,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3770,,500,2007-03-31,BHEL,BHEL,BHEL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3770,,500,2008-03-16,BHEL India,BHEL India,BHEL India,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3770,,500,2009-07-31,BHEL,BHEL,BHEL,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4420,,110,1985-03-31,BHEL Hyderabad,BHEL Hyderabad,BHEL Hyderabad,1,ST-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4420,,110,1986-03-17,BHEL Hyderabad,BHEL Hyderabad,BHEL Hyderabad,2,ST-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4420,,195,2015-03-31,BHEL India,BHEL India,BHEL India,3,ST-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4420,,195,2015-00-00,BHEL India,BHEL India,BHEL India,4,ST-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43810,,660,2015-03-06,LMZ (Leningradsky Metallichesky Zavod),Technoprom Russia,Electrosila Russia,1,ST-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43810,,660,2013-11-20,LMZ (Leningradsky Metallichesky Zavod),Technoprom Russia,Electrosila Russia,2,ST-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43810,,660,,LMZ (Leningradsky Metallichesky Zavod),,Electrosila Russia,3,ST-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC,43810,,660,2013-11-30,BHEL,BHEL,BHEL,4,ST-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC,43810,,660,2015-03-04,BHEL,BHEL,BHEL,5,ST-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2332,,30,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2332,,30,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2332,,14,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2332,,250,2008-04-20,BHEL,BHEL,BHEL,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2332,,250,2009-07-12,BHEL,BHEL,BHEL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3892,,50,1966-10-22,LMZ Russia,Taganrov,Electrosila,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3892,,50,1967-07-16,LMZ Russia,Taganrov,Electrosila,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3892,,50,1968-08-28,LMZ Russia,Taganrov,Electrosila,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3892,,50,1968-10-31,LMZ Russia,Taganrov,Electrosila,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3892,,120,1976-03-24,BHEL,AVB Durgapur,BHEL India,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3892,,120,1981-04-05,BHEL,BHEL,BHEL India,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3893,,250,2007-03-30,BHEL,BHEL,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3893,,250,2007-12-11,BHEL,BHEL,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3894,,200,1983-03-01,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3894,,200,1983-10-31,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3894,,200,1984-03-17,BHEL Hardwar,BHEL Hyderabad,BHEL Hardwar,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3894,,500,1987-05-31,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3894,,500,1988-03-25,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3894,,500,1989-02-23,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3894,,500,2010-12-26,BHEL,BHEL,BHEL,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3895,,210,1983-08-21,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3895,,210,1984-03-31,BHEL Hardwar,BHEL Hardwar,BHEL Hardwar,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3895,,210,1985-03-28,BHEL Hardwar,ABL,BHEL Hardwar,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3895,,210,1986-03-13,BHEL Hardwar,ABL,BHEL Hardwar,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3895,,500,2013-03-22,BHEL,BHEL,BHEL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3995,,300,2009-06-04,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3995,,300,2010-03-25,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
