Boiler_Model_Type,GEO_Assigned_Identification_Number,Chimney_Height_m_nbr,Capacity_MWe_nbr,Date_Commissioned_dt,Turbine_Manufacturer,Boiler_Manufacturer,Generator_Manufacturer,Unit_Nbr,Turbine_Model_Type,Decommission_Date_dt,Unit_Efficiency_Percent_nbr,Generator_Model_Type,Control_NOx_yr,Control_SOx_yr,Control_PM_yr,Control_Hg_yr,Control_N2O_yr,Boiler_HRSG_Manufacturer,Unit_Efficiency_Percent,Chimney_Height_nbr,Boiler_HRSG_Model_Type,Diesel_Engine_Boiler_Manufacturer,Diesel_Engine_Boiler_Model_Type,Hydraulic_Head_m_nbr,Speed_RPM_nbr,Injection_Wells_nbr,Production_Wells_nbr,Pipe_Network_Length_km_nbr,Reactor_Manufacturer,Reactor_Type_Model,IAEA_ID,Construction_Start_Date_dt,Generator_Type_Model,Turbine_Type_Model,Panel_Manufacturer,Invertor_Manufacturer,Panel_Type_Model,Invertor_Type_Model,Number_Of_Panels_nbr,Storage_Backup_System,Solar_to_Electric_Efficiency_Percent_nbr,HCE_Manufacturer,Number_Of_Turbines_nbr,Rotor_Diameter_m_nbr,Peak_MWe_per_Turbine_nbr,Hub_Height_m_nbr,Max_Production_at_wind_speed_m_sec_nbr,Turbine_Model,Capacity_Factor_Percent_nbr
,43172,,500,1976-00-00,C. A. Parsons,International Combustion Ltd,C. A. Parsons,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43172,,500,1980-00-00,C. A. Parsons,International Combustion Ltd,C. A. Parsons,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43138,,120,1973-00-00,,,,1,,2011-05-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43138,,120,1973-00-00,,,,2,,2010-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43138,,120,1973-00-00,,,,3,,2012-07-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43138,,120,1973-00-00,,,,4,,2010-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43155,,350,1989-00-00,Hitachi Japan,Babcock-Hitachi,Hitachi Japan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43155,,350,1989-00-00,Hitachi Japan,Babcock-Hitachi,Hitachi Japan,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supercritical Reheat Condensing,43156,,450,2001-07-05,Toshiba,Forster Wheeler Company (under IHI),Toshiba,1,ST-1 TCDF-42,,40,TAKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supercritical Reheat Condensing,43156,,450,2001-07-05,Toshiba,Forster Wheeler Company (under IHI),Toshiba,2,ST-2 TCDF-42,,40,TAKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supercritical,43157,,440,2003-00-00,Ansaldo (license ABB),Babcock & Wilcox,Ansaldo (license ABB),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supercritical,43157,,440,2003-00-00,Ansaldo (license ABB),Babcock & Wilcox,Ansaldo (license ABB),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supercritical,43158,,750,2007-00-00,Siemens,Babcock-Hitachi,Siemens,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43159,210,350,1984-05-00,Hitachi Japan,Babcock-Hitachi,Hitachi Japan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43159,210,350,1985-00-00,Hitachi Japan,Babcock-Hitachi,Hitachi Japan,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43159,210,350,1985-00-00,Hitachi Japan,Babcock-Hitachi,Hitachi Japan,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43159,210,350,1986-00-00,Hitachi Japan,Babcock-Hitachi,Hitachi Japan,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supercritical Reheat Condensing,43160,,450,2003-00-00,Toshiba,Ishikawajima-Harima Heavy Industries (IHI),Toshiba,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43161,153,280,1976-00-00,,Dodds,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43161,153,280,1976-00-00,,Dodds,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43161,153,280,1976-00-00,,Dodds,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43161,153,280,1976-00-00,,Dodds,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43161,153,280,1982-00-00,,Dodds,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43161,153,280,1982-00-00,,Dodds,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43162,,365,1993-00-00,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43162,,365,1994-00-00,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43162,,365,1995-00-00,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43162,210,365,1996-00-00,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43220,,31,1976-00-00,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43220,,31,1976-00-00,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43220,,31,1976-00-00,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43220,,31,1976-00-00,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43220,,66,1976-00-00,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43167,,272,1985-00-00,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43167,,272,1985-00-00,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
